id,user_id,status,order_date,batched_at
52,54,return_pending,2025-11-25,2025-11-25 20:15:09.000000
1,1,returned,2025-10-01,2025-10-01 12:19:47.000000
8,2,returned,2025-10-11,2025-10-11 17:29:06.000000
14,40,returned,2025-10-17,2025-10-17 16:36:56.000000
18,64,returned,2025-10-20,2025-10-20 22:24:55.000000
71,42,shipped,2025-12-12,2025-12-12 08:22:42.000000
72,30,shipped,2025-12-14,2025-12-14 02:01:24.000000
74,9,shipped,2025-12-17,2025-12-17 07:08:20.000000
77,35,shipped,2025-12-21,2025-12-21 09:50:51.000000
79,52,shipped,2025-12-23,2025-12-23 11:57:01.000000
81,76,shipped,2025-12-23,2025-12-23 12:18:51.000000
80,11,shipped,2025-12-23,2025-12-23 18:05:02.000000
78,90,shipped,2025-12-23,2025-12-23 12:50:40.000000
82,46,shipped,2025-12-24,2025-12-24 02:14:44.000000
83,54,shipped,2025-12-24,2025-12-24 15:29:03.000000
85,47,shipped,2025-12-26,2025-12-26 18:43:11.000000
88,91,shipped,2025-12-27,2025-12-27 08:59:14.000000
90,66,shipped,2025-12-30,2025-12-30 07:01:03.000000
